time;strands;temp;finals
0;20;22.5;0.0
8000;20;22.5;0.0
16000;20;22.5;0.0
24000;20;22.5;0.0
32000;20;22.5;0.0025
40000;20;22.5;0.0475
48000;20;22.5;0.205
56000;20;22.5;0.1075
64000;20;22.5;0.1
72000;20;22.5;0.205
80000;20;22.5;0.2375
88000;20;22.5;0.25
96000;20;22.5;0.265
104000;20;22.5;0.2075
112000;20;22.5;0.245
120000;20;22.5;0.2525
128000;20;22.5;0.285
136000;20;22.5;0.27
144000;20;22.5;0.215
152000;20;22.5;0.2475
160000;20;22.5;0.2625
168000;20;22.5;0.185
176000;20;22.5;0.27
184000;20;22.5;0.2125
192000;20;22.5;0.1975
