time;strands;temp;finals
99998;40;0.0;0.0
99998;40;1.0;0.0
99998;40;2.0;0.0
99998;40;3.0;0.0
99998;40;4.0;0.0
99998;40;5.0;0.0
99998;40;6.0;0.0
99998;40;7.0;0.0
99998;40;8.0;0.0
99998;40;9.0;0.0
99998;40;10.0;0.0
99998;40;11.0;0.0
99998;40;12.0;0.0
99998;40;13.0;0.0
99998;40;14.0;0.0
99998;40;15.0;0.0025
99998;40;16.0;0.0
99998;40;17.0;0.0425
99998;40;18.0;0.0275
99998;40;19.0;0.0725
99998;40;20.0;0.1025
99998;40;21.0;0.1175
99998;40;22.0;0.14
99998;40;23.0;0.165
99998;40;24.0;0.2525
99998;40;25.0;0.3075
99998;40;26.0;0.3375
99998;40;27.0;0.36
99998;40;28.0;0.4575
99998;40;29.0;0.475
99998;40;30.0;0.4925
99998;40;31.0;0.4975
99998;40;32.0;0.4775
99998;40;33.0;0.535
99998;40;34.0;0.51
99998;40;35.0;0.45
99998;40;36.0;0.39
99998;40;37.0;0.4125
99998;40;38.0;0.3175
99998;40;39.0;0.3475
99998;40;40.0;0.405
99998;40;41.0;0.5075
99998;40;42.0;0.58
99998;40;43.0;0.7625
99998;40;44.0;0.815
99998;40;45.0;0.785
99998;40;46.0;0.755
99998;40;47.0;0.7275
99998;40;48.0;0.595
99998;40;49.0;0.565
99998;40;50.0;0.5525
99998;40;51.0;0.5275
99998;40;52.0;0.41
99998;40;53.0;0.4925
99998;40;54.0;0.255
99998;40;55.0;0.2975
99998;40;56.0;0.26
99998;40;57.0;0.14
99998;40;58.0;0.2475
99998;40;59.0;0.1675
99998;40;60.0;0.1125
99998;40;61.0;0.145
99998;40;62.0;0.1125
99998;40;63.0;0.115
99998;40;64.0;0.0625
99998;40;65.0;0.0475
99998;40;66.0;0.0025
99998;40;67.0;0.065
99998;40;68.0;0.0
99998;40;69.0;0.015
99998;40;70.0;0.0
99998;40;71.0;0.0
99998;40;72.0;0.0
99998;40;73.0;0.0
99998;40;74.0;0.0
99998;40;75.0;0.0
99998;40;76.0;0.0
99998;40;77.0;0.0
99998;40;78.0;0.0
99998;40;79.0;0.0
99998;40;80.0;0.0
99998;40;81.0;0.0
99998;40;82.0;0.0
99998;40;83.0;0.0
99998;40;84.0;0.0
99998;40;85.0;0.0
99998;40;86.0;0.0
99998;40;87.0;0.0
99998;40;88.0;0.0
99998;40;89.0;0.0
99998;40;90.0;0.0
99998;40;91.0;0.0
99998;40;92.0;0.0
99998;40;93.0;0.0
99998;40;94.0;0.0
99998;40;95.0;0.0
99998;40;96.0;0.0
99998;40;97.0;0.0
99998;40;98.0;0.0
99998;40;99.0;0.0
