time;strands;temp;finals
0;40;22.5;0.0
8000;40;22.5;0.0
16000;40;22.5;0.0
24000;40;22.5;0.0
32000;40;22.5;0.075
40000;40;22.5;0.0625
48000;40;22.5;0.055
56000;40;22.5;0.0675
64000;40;22.5;0.21
72000;40;22.5;0.2075
80000;40;22.5;0.23
88000;40;22.5;0.2375
96000;40;22.5;0.2475
104000;40;22.5;0.2175
112000;40;22.5;0.2025
120000;40;22.5;0.185
128000;40;22.5;0.1975
136000;40;22.5;0.2275
144000;40;22.5;0.125
152000;40;22.5;0.1225
160000;40;22.5;0.1525
168000;40;22.5;0.1325
176000;40;22.5;0.1525
184000;40;22.5;0.1175
192000;40;22.5;0.1075
